date,y_true,y_pred_mean,lower,upper,std
2026-01-09,6996.4,6502.2,5826.0,7259.3,511.2
2026-01-10,9342.6,7428.0,6283.2,8616.5,671.1
2026-01-11,7136.4,9505.8,7915.4,10913.2,934.4
2026-01-12,6442.6,7301.2,6061.6,8794.4,933.3
2026-01-13,7237.4,6684.6,5656.5,7750.2,666.4
2026-01-14,6645.6,7980.8,7170.9,9036.8,569.2
2026-01-15,7350.3,7823.0,7026.6,8623.4,511.2
2026-01-16,9379.6,8248.2,7186.3,9042.7,562.6
2026-01-17,11599.8,9479.6,8207.5,10802.3,737.0
2026-01-18,9380.6,11880.0,10227.1,13451.0,970.0
2026-01-19,6893.5,9445.9,7962.4,10850.1,928.8
2026-01-20,7495.3,7137.4,6313.7,7823.4,528.6
2026-01-21,7457.3,7597.5,6897.6,8365.5,477.5
2026-01-22,9201.6,8006.0,7266.1,8717.7,443.5
2026-01-23,9926.4,9416.6,8814.4,10372.5,523.1
2026-01-24,11181.9,10506.2,9385.1,11444.1,608.9
2026-01-25,8765.8,12458.1,11147.7,13560.4,794.1
2026-01-26,9369.6,8659.3,7257.1,10332.4,976.3
2026-01-27,9737.4,9301.7,8162.2,10429.9,697.5
2026-01-28,9678.5,10337.0,9286.2,11318.6,600.7
2026-01-29,8551.9,10650.7,9692.5,11611.8,623.4
2026-01-30,8282.0,9673.4,8766.1,10556.6,597.8
2026-01-31,11241.9,8754.3,7989.7,9721.4,527.4
2026-02-01,10931.0,10968.9,9415.1,12572.9,972.5
2026-02-02,10971.0,10501.5,8788.4,12420.6,1078.5
2026-02-03,12884.3,10816.2,9777.8,11628.4,629.0
2026-02-04,12650.4,13091.5,11546.0,14507.5,963.8
2026-02-05,12408.5,13405.2,12062.5,14618.0,829.4
2026-02-06,13486.1,12988.1,12154.5,13896.1,563.3
2026-02-07,13884.9,13677.2,12405.9,14813.0,809.1
2026-02-08,12992.3,13466.8,11425.4,14786.2,1066.3
2026-02-09,13807.0,11684.7,10066.4,13382.5,1131.0
2026-02-10,15348.4,13419.3,12187.8,15144.8,918.3
2026-02-11,14621.7,15638.3,13841.7,17328.3,1133.2
2026-02-12,14419.7,15476.4,14233.4,16818.5,997.9
2026-02-13,16101.1,14896.5,13389.7,16083.6,829.8
2026-02-14,14953.5,15963.8,14491.7,17411.4,882.0
2026-02-15,12139.6,15464.8,14120.6,17386.8,1068.6
2026-02-16,11801.7,12820.2,11057.3,14656.5,1176.2
2026-02-17,20741.4,11216.3,9404.0,13122.2,1110.4
2026-02-18,23006.6,19995.7,17262.2,23393.4,1946.3
2026-02-19,23006.6,20364.6,17638.0,23499.6,1900.1
2026-02-20,23006.6,19904.5,17065.1,22513.3,1733.7
2026-02-21,23006.6,19609.9,16949.4,22631.0,1755.2
2026-02-22,23006.6,20060.1,16772.2,23215.4,1939.3
2026-02-23,23006.6,20005.5,17272.8,23546.1,1801.3
2026-02-24,23006.6,18926.4,15606.8,21838.0,1959.2
2026-02-25,20552.5,21072.6,17593.5,23738.3,1752.8
2026-02-26,16042.1,20465.7,17879.6,23137.9,1671.8
2026-02-27,13514.1,16611.1,15225.3,18732.0,1010.9
2026-02-28,9941.4,14600.0,13017.1,16081.2,980.2
2026-03-01,7282.3,11094.5,9789.4,12424.9,815.2
2026-03-02,6267.7,8950.6,7774.5,10622.4,946.7
2026-03-03,5768.9,7117.9,5813.4,8531.2,794.8
2026-03-04,5649.9,6875.2,5670.0,7863.9,701.6
2026-03-05,6145.8,7185.4,6052.0,8204.8,686.7
2026-03-06,7060.4,6929.1,6125.0,7888.2,580.5
2026-03-07,8590.9,7552.3,6497.9,8521.6,587.5
2026-03-08,23006.6,9534.3,8660.3,11087.0,747.4
2026-03-09,6192.7,21555.9,18144.1,24655.1,2019.2
2026-03-10,7944.1,7716.5,6373.9,8783.3,766.9
2026-03-11,8337.0,7986.8,7139.0,8934.7,541.3
2026-03-12,7508.3,8933.3,8391.1,9602.0,381.4
2026-03-13,7807.1,8619.3,7906.3,9403.0,447.9
2026-03-14,10725.1,8517.8,7742.8,9587.4,550.6
2026-03-15,8449.9,10809.5,9320.3,12057.3,835.6
2026-03-16,8175.0,9062.4,7149.0,10576.3,1040.6
2026-03-17,8349.0,8677.6,7620.3,9720.3,683.2
2026-03-18,9537.5,8903.6,8249.2,9454.9,443.8
2026-03-19,9543.5,9979.5,9090.2,10898.2,516.3
2026-03-20,11285.9,10482.7,9396.8,11486.4,640.7
2026-03-21,15333.4,11631.2,10309.7,12791.4,764.1
2026-03-22,11007.0,15053.9,13094.7,17098.8,1201.2
2026-03-23,9869.4,10406.6,8265.6,12107.5,1087.4
2026-03-24,11201.9,9685.2,8784.0,10650.8,601.2
2026-03-25,9970.4,11398.0,10452.3,12277.9,606.7
2026-03-26,9887.4,10908.7,10111.8,11811.1,556.1
2026-03-27,10807.1,10796.2,9686.4,11772.5,638.5
2026-03-28,14501.7,11389.5,10347.1,12525.6,711.6
2026-03-29,10115.3,14853.5,12687.4,17048.3,1210.9
2026-03-30,8989.7,10080.5,8309.4,11753.0,990.7
2026-03-31,11346.9,9373.5,8441.3,10263.7,583.6
2026-04-01,6628.6,11673.5,10689.2,12579.7,617.9
2026-04-02,20823.4,9537.3,8596.2,10302.3,532.9
